u,v,time
Sector 51 (Aqua line),Sector 50 (Aqua line),3.0
Sector 50 (Aqua line),Sector 76 (Aqua line),3.0
Sector 76 (Aqua line),Sector 101 (Aqua line),3.0
Sector 101 (Aqua line),Sector 81 (Aqua line),3.0
Sector 81 (Aqua line),NSEZ (Aqua line),3.0
NSEZ (Aqua line),Sector 83 (Aqua line),3.0
Sector 83 (Aqua line),Sector 137 (Aqua line),3.0
Sector 137 (Aqua line),Sector 142 (Aqua line),3.0
Sector 142 (Aqua line),Sector 143 (Aqua line),3.0
Sector 143 (Aqua line),Sector 144 (Aqua line),3.0
Sector 144 (Aqua line),Sector 145 (Aqua line),3.0
Sector 145 (Aqua line),Sector 146 (Aqua line),3.0
Sector 146 (Aqua line),Sector 147 (Aqua line),3.0
Sector 147 (Aqua line),Sector 148 (Aqua line),3.0
Sector 148 (Aqua line),Knowledge Park II (Aqua line),3.0
Knowledge Park II (Aqua line),Pari Chowk (Aqua line),3.0
Pari Chowk (Aqua line),Alpha 1 (Aqua line),3.0
Alpha 1 (Aqua line),Delta 1 (Aqua line),3.0
Delta 1 (Aqua line),GNIDA (Aqua line),3.0
GNIDA (Aqua line),Depot Station (Aqua line),3.0
Dwarka Sector-21(First station) (Blue line),Dwarka Sector-8 (Blue line),3.0
Dwarka Sector-8 (Blue line),Dwarka Sector-9 (Blue line),3.0
Dwarka Sector-9 (Blue line),Dwarka Sector-10 (Blue line),3.0
Dwarka Sector-10 (Blue line),Dwarka Sector-11 (Blue line),3.0
Dwarka Sector-11 (Blue line),Dwarka Sector 12 (Blue line),3.0
Dwarka Sector 12 (Blue line),Dwarka Sector 13 (Blue line),3.0
Dwarka Sector 13 (Blue line),Dwarka Sector-14 (Blue line),3.0
Dwarka Sector-14 (Blue line),Dwarka (Blue line),3.0
Dwarka (Blue line),Dwarka Mor (Blue line),2.466666666666667
Dwarka (Blue line),Dwarka (Gray line),4.0
Dwarka Mor (Blue line),Nawada (Blue line),2.1666666666666665
Nawada (Blue line),Uttam Nagar West (Blue line),2.033333333333333
Uttam Nagar West (Blue line),Uttam Nagar East (Blue line),1.9666666666666668
Uttam Nagar East (Blue line),Janakpuri West (Blue line),2.4166666666666665
Janakpuri West (Blue line),Janakpuri East (Blue line),1.95
Janakpuri West (Blue line),Janakpuri West (Magenta line),4.0
Janakpuri East (Blue line),Tilak Nagar (Blue line),2.0166666666666666
Tilak Nagar (Blue line),Subhash Nagar (Blue line),1.9166666666666665
Subhash Nagar (Blue line),Tagore Garden (Blue line),1.8333333333333335
Tagore Garden (Blue line),Rajouri Garden (Blue line),2.183333333333333
Rajouri Garden (Blue line),Ramesh Nagar (Blue line),1.9833333333333334
Rajouri Garden (Blue line),Rajouri Garden (Pink line),4.0
Ramesh Nagar (Blue line),Moti Nagar (Blue line),2.183333333333333
Moti Nagar (Blue line),Kirti Nagar (Blue line),2.05
Kirti Nagar (Blue line),Shadipur (Blue line),1.9333333333333333
Kirti Nagar (Blue line),Kirti Nagar (Green line branch),4.0
Shadipur (Blue line),Patel Nagar (Blue line),2.2666666666666666
Patel Nagar (Blue line),Rajendra Place (Blue line),1.9666666666666668
Rajendra Place (Blue line),Karol Bagh (Blue line),2.05
Karol Bagh (Blue line),Jhandewalan (Blue line),2.2
Jhandewalan (Blue line),Ramakrishna Ashram Marg (Blue line),2.1333333333333333
Ramakrishna Ashram Marg (Blue line),Rajiv Chowk (Blue line),2.45
Rajiv Chowk (Blue line),Barakhamba Road (Blue line),1.8
Rajiv Chowk (Blue line),Rajiv Chowk (Yellow line),4.0
Barakhamba Road (Blue line),Mandi House (Blue line),2.1333333333333333
Mandi House (Blue line),Supreme Court (Pragati Maidan) (Blue line),3.0
Mandi House (Blue line),Mandi House (Voilet line),4.0
Supreme Court (Pragati Maidan) (Blue line),Indraprastha (Blue line),3.0
Indraprastha (Blue line),Yamuna Bank (Blue line),2.95
Yamuna Bank (Blue line),Akshardham (Blue line),2.783333333333333
Yamuna Bank (Blue line),Yamuna Bank (Blue line branch),4.0
Akshardham (Blue line),Mayur Vihar 1 (Blue line),3.0
Mayur Vihar 1 (Blue line),Mayur Vihar Extention (Blue line),3.0
Mayur Vihar Extention (Blue line),New Ashok Nagar (Blue line),3.0
New Ashok Nagar (Blue line),Noida Sector-15 (Blue line),2.25
Noida Sector-15 (Blue line),Noida Sector 16 (Blue line),3.0
Noida Sector 16 (Blue line),Noida Sector 18 (Blue line),3.0
Noida Sector 18 (Blue line),Botanical Garden (Blue line),3.0
Botanical Garden (Blue line),Golf Course (Blue line),2.6
Botanical Garden (Blue line),Botanical Garden (Magenta line),4.0
Golf Course (Blue line),Noida City Center (Blue line),3.0
Noida City Center (Blue line),Sector-34 Noida (Blue line),3.0
Sector-34 Noida (Blue line),Sector-52 Noida (Blue line),3.0
Sector-52 Noida (Blue line),Sector-61 Noida (Blue line),3.0
Sector-61 Noida (Blue line),Sector-59 Noida (Blue line),3.0
Sector-59 Noida (Blue line),Sector-62 Noida (Blue line),3.0
Sector-62 Noida (Blue line),Noida Electronic City (Blue line),2.0
Yamuna Bank (Blue line branch),Laxmi Nagar (Blue line branch),2.8
Laxmi Nagar (Blue line branch),Nirman Vihar (Blue line branch),2.9333333333333336
Nirman Vihar (Blue line branch),Preet Vihar (Blue line branch),2.25
